omega_rad_per_sample,abs_q_true_1_from_2,abs_q_hat_1_from_2,abs_q_hat_2_from_1
0.88494700,0.39461388,0.39461388,0.00000000
0.89687482,0.39368659,0.39368659,0.00000000
0.90880263,0.39275702,0.39275702,0.00000000
0.92073045,0.39182541,0.39182541,0.00000000
0.93265826,0.39089201,0.39089201,0.00000000
0.94458607,0.38995703,0.38995703,0.00000000
0.95651389,0.38902073,0.38902073,0.00000000
0.96844170,0.38808330,0.38808330,0.00000000
0.98036952,0.38714499,0.38714499,0.00000000
0.99229733,0.38620600,0.38620600,0.00000000
1.00422515,0.38526654,0.38526654,0.00000000
1.01615296,0.38432683,0.38432683,0.00000000
1.02808077,0.38338707,0.38338707,0.00000000
1.04000859,0.38244746,0.38244746,0.00000000
1.05193640,0.38150820,0.38150820,0.00000000
1.06386422,0.38056947,0.38056947,0.00000000
1.07579203,0.37963147,0.37963147,0.00000000
1.08771985,0.37869437,0.37869437,0.00000000
1.09964766,0.37775837,0.37775837,0.00000000
1.11157548,0.37682363,0.37682363,0.00000000
1.12350329,0.37589032,0.37589032,0.00000000
1.13543110,0.37495863,0.37495863,0.00000000
1.14735892,0.37402869,0.37402869,0.00000000
